Timestamp,Domain,Query Type,Mode,Success,Total Time (s),Steps,Cache Status,Answers,Error
2025-10-21T12:50:24.017102,fini.net.,A,iterative,True,0.7228,3,MISS,198.57.192.137,
2025-10-21T12:50:25.240487,forpsi.net.,A,iterative,True,0.5474,3,MISS,85.255.6.237,
2025-10-21T12:50:26.288274,gamemob.com.,A,iterative,True,0.5728,3,MISS,3.33.130.190; 15.197.148.33,
2025-10-21T12:50:27.362100,gensee.com.,A,iterative,True,0.4851,3,MISS,211.150.89.25,
2025-10-21T12:50:28.347989,globalpoliticalspectrum.com.,A,iterative,False,0.4000,2,MISS,,No answers found
2025-10-21T12:50:29.249089,group14eng.com.,A,iterative,True,0.5664,3,MISS,192.124.249.164,
2025-10-21T12:50:30.315517,gusbi.com.,A,iterative,True,0.5615,3,MISS,185.145.195.19,
2025-10-21T12:50:31.379005,healthnews4you.com.,A,iterative,True,0.5696,3,MISS,3.33.130.190; 15.197.148.33,
2025-10-21T12:50:32.448824,hemcolubricants.com.,A,iterative,True,0.6765,3,MISS,194.9.94.85; 194.9.94.86,
2025-10-21T12:50:33.626133,hornil.com.,A,iterative,True,0.5615,3,MISS,183.111.138.226,
2025-10-21T12:50:34.688474,house-sg.com.,A,iterative,True,0.9109,3,MISS,208.98.40.211,
2025-10-21T12:50:36.100108,i-butterfly.ru.,A,iterative,True,0.5299,3,MISS,172.67.151.138; 104.21.88.172,
2025-10-21T12:50:37.130366,iag-inc.com.,A,iterative,True,1.2452,3,MISS,103.224.182.253,
2025-10-21T12:50:38.876385,informarexresistere.fr.,A,iterative,True,1.6749,3,MISS,178.32.143.165,
2025-10-21T12:50:41.051833,interfloracentral.co.uk.,A,iterative,True,1.7033,3,MISS,217.69.32.44,
2025-10-21T12:50:43.256177,jantv.in.,A,iterative,True,0.3498,3,MISS,172.67.132.252; 104.21.5.51,
2025-10-21T12:50:44.106629,junio.com.,A,iterative,True,0.8439,3,MISS,209.196.144.25,
2025-10-21T12:50:45.451608,kathihill.com.,A,iterative,True,0.5403,3,MISS,159.65.187.116,
2025-10-21T12:50:46.493792,kennethehartman.com.,A,iterative,True,0.4484,3,MISS,192.0.78.24; 192.0.78.25,
2025-10-21T12:50:47.442610,kh.ua.,A,iterative,True,0.4695,3,MISS,195.69.185.211,
2025-10-21T12:50:48.412939,khsm.ru.,A,iterative,True,1.5050,3,MISS,91.247.37.5,
2025-10-21T12:50:50.418966,linksplash.info.,A,iterative,False,0.1899,2,MISS,,No answers found
2025-10-21T12:50:51.109478,livelinks.com.,A,iterative,True,0.4283,3,MISS,108.158.61.12; 108.158.61.13; 108.158.61.76; 108.158.61.89,
2025-10-21T12:50:52.038669,localhost.re.,A,iterative,True,0.4706,3,MISS,104.21.50.127; 172.67.163.57,
2025-10-21T12:50:53.010134,lozo.com.,A,iterative,True,0.4252,3,MISS,44.214.239.39; 107.21.144.47,
2025-10-21T12:50:53.936220,luckypuppygames.com.,A,iterative,True,0.5746,3,MISS,172.233.219.78; 172.237.146.8; 172.233.219.123; 172.237.146.25; 172.233.219.49; 172.237.146.38,
2025-10-21T12:50:55.012029,memeblender.com.,A,iterative,True,0.4272,3,MISS,104.21.7.158; 172.67.136.240,
2025-10-21T12:50:55.939960,mesites.co.za.,A,iterative,True,6.6759,4,MISS,41.204.200.130,
2025-10-21T12:51:03.116503,michiganbulb.com.,A,iterative,True,0.7091,3,MISS,208.27.142.168,
2025-10-21T12:51:04.326408,monsterhomesecuritystore.com.,A,iterative,False,0.3919,2,MISS,,No answers found
2025-10-21T12:51:05.219174,mwzip.com.,A,iterative,True,0.4447,3,MISS,104.21.20.205; 172.67.194.102,
2025-10-21T12:51:06.164545,mysearch-online.com.,A,iterative,False,0.4054,2,MISS,,No answers found
2025-10-21T12:51:07.070661,newstetic.com.,A,iterative,True,0.4478,3,MISS,104.21.3.241; 172.67.131.89,
2025-10-21T12:51:08.019383,niceinternetmoney.ru.,A,iterative,False,0.3691,2,MISS,,No answers found
2025-10-21T12:51:08.889045,o-ov.com.,A,iterative,False,6.3682,38,MISS,,No answers found
2025-10-21T12:51:15.758168,ondemandappliancerepair.com.,A,iterative,True,0.5367,3,MISS,74.208.236.102,
2025-10-21T12:51:16.796183,owlcreek.com.,A,iterative,True,0.7259,3,MISS,205.178.189.129,
2025-10-21T12:51:18.021992,pbprofile.com.,A,iterative,False,0.3982,2,MISS,,No answers found
